"k","n","Variance","Test","Power","TypeI_Error"
3,8,"Moderate","FisherLSD",0.631573685262947,0.0575884823035393
3,8,"Moderate","GamesHowell",0.600279944011198,0.0529894021195761
3,8,"Moderate","DunnettT3",0.575384923015397,0.0470905818836233
3,8,"Moderate","TamhaneT2",0.565886822635473,0.0453909218156369
3,8,"Moderate","Sidak",0.606478704259148,0.0489902019596081
3,8,"High","TukeyHSD",0.629374125174965,0.0619876024795041
3,8,"High","Scheffe",0.584583083383323,0.0525894821035793
3,8,"High","FisherLSD",0.621175764847031,0.0625874825034993
3,8,"High","GamesHowell",0.60747850429914,0.0520895820835833
3,8,"High","DunnettT3",0.577284543091382,0.0466906618676265
3,8,"High","TamhaneT2",0.566586682663467,0.0446910617876425
3,8,"High","Sidak",0.598880223955209,0.0548890221955609
3,10,"Homogeneous","TukeyHSD",0.753449310137972,0.0497900419916017
3,10,"Homogeneous","Scheffe",0.715456908618276,0.0407918416316737
3,10,"Homogeneous","FisherLSD",0.751649670065987,0.0503899220155969
3,10,"Homogeneous","GamesHowell",0.729154169166167,0.0469906018796241
3,10,"Homogeneous","DunnettT3",0.705858828234353,0.0422915416916617
3,10,"Homogeneous","TamhaneT2",0.70255948810238,0.0412917416516697
3,10,"Homogeneous","Sidak",0.730753849230154,0.0444911017796441
3,10,"Moderate","TukeyHSD",0.749150169966007,0.0605878824235153
3,10,"Moderate","Scheffe",0.710157968406319,0.0492901419716057
3,10,"Moderate","FisherLSD",0.748550289942012,0.0600879824035193
3,10,"Moderate","GamesHowell",0.731053789242152,0.0540891821635673
3,10,"Moderate","DunnettT3",0.708158368326335,0.0482903419316137
3,10,"Moderate","TamhaneT2",0.702859428114377,0.0466906618676265
3,10,"Moderate","Sidak",0.725454909018196,0.0529894021195761
3,10,"High","TukeyHSD",0.760547890421916,0.0619876024795041
3,10,"High","Scheffe",0.722355528894221,0.0508898220355929
3,10,"High","FisherLSD",0.759248150369926,0.0605878824235153
3,10,"High","GamesHowell",0.756048790241952,0.0560887822435513
3,10,"High","DunnettT3",0.72995400919816,0.0491901619676065
3,10,"High","TamhaneT2",0.723955208958208,0.0471905618876225
3,10,"High","Sidak",0.737152569486103,0.0546890621875625
4,6,"Homogeneous","TukeyHSD",0.92621475704859,0.0479904019196161
4,6,"Homogeneous","Scheffe",0.880223955208958,0.0272945410917816
4,6,"Homogeneous","FisherLSD",0.932913417316537,0.0473905218956209
4,6,"Homogeneous","GamesHowell",0.86872625474905,0.0503899220155969
4,6,"Homogeneous","DunnettT3",0.838032393521296,0.0398920215956809
4,6,"Homogeneous","TamhaneT2",0.818136372725455,0.0343931213757249
4,6,"Homogeneous","Sidak",0.906418716256749,0.0353929214157169
4,6,"Moderate","TukeyHSD",0.92251549690062,0.0611877624475105
4,6,"Moderate","Scheffe",0.873225354929014,0.0407918416316737
4,6,"Moderate","FisherLSD",0.929914017196561,0.0593881223755249
4,6,"Moderate","GamesHowell",0.873525294941012,0.0525894821035793
4,6,"Moderate","DunnettT3",0.837932413517297,0.0419916016796641
4,6,"Moderate","TamhaneT2",0.810337932413517,0.0358928214357129
4,6,"Moderate","Sidak",0.902619476104779,0.0498900219956009
4,6,"High","TukeyHSD",0.924215156968606,0.0693861227754449
4,6,"High","Scheffe",0.875924815036993,0.0451909618076385
4,6,"High","FisherLSD",0.925514897020596,0.0677864427114577
4,6,"High","GamesHowell",0.879524095180964,0.0579884023195361
4,6,"High","DunnettT3",0.842931413717257,0.0457908418316337
4,6,"High","TamhaneT2",0.809338132373525,0.0408918216356729
4,6,"High","Sidak",0.904319136172765,0.0579884023195361
4,8,"Homogeneous","TukeyHSD",0.98250349930014,0.0508898220355929
4,8,"Homogeneous","Scheffe",0.966706658668266,0.0306938612277545
4,8,"Homogeneous","FisherLSD",0.98370325934813,0.0519896020795841
4,8,"Homogeneous","GamesHowell",0.969506098780244,0.0546890621875625
4,8,"Homogeneous","DunnettT3",0.959708058388322,0.0458908218356329
4,8,"Homogeneous","TamhaneT2",0.955608878224355,0.0433913217356529
4,8,"Homogeneous","Sidak",0.97630473905219,0.0404919016196761
4,8,"Moderate","TukeyHSD",0.985602879424115,0.0592881423715257
4,8,"Moderate","Scheffe",0.97120575884823,0.0374925014997001
4,8,"Moderate","FisherLSD",0.987402519496101,0.0569886022795441
